                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.82294,                0.37448,                0.92684,                0.97367,                0.94874,                0.96299,                0.69749,                0.99262,                0.36985,                 1.0379,             0.00018569,             0.00018569,             0.00018569
                     74,                0.81662,                0.37155,                0.93402,                0.97476,                0.95005,                0.96197,                0.69776,                 0.9934,                 0.3692,                 1.0404,              0.0001795,              0.0001795,              0.0001795
                     75,                0.81511,                0.36439,                0.92937,                0.97193,                0.95275,                0.96382,                0.69942,                 0.9924,                0.36707,                 1.0374,             0.00017331,             0.00017331,             0.00017331
                     76,                 0.8065,                0.36387,                0.92421,                0.97242,                0.94988,                0.96404,                0.69968,                0.99565,                0.37142,                 1.0393,             0.00016713,             0.00016713,             0.00016713
                     77,                0.80285,                0.36551,                0.92764,                0.97301,                0.94955,                0.96405,                0.69781,                0.99471,                0.36878,                 1.0407,             0.00016094,             0.00016094,             0.00016094
                     78,                0.80494,                0.36355,                0.92782,                0.97407,                0.95035,                0.96314,                0.69813,                0.99764,                0.36916,                 1.0393,             0.00015475,             0.00015475,             0.00015475
                     79,                0.80123,                0.35807,                0.92699,                0.97389,                0.95071,                0.96477,                0.70164,                0.99523,                0.36574,                   1.04,             0.00014856,             0.00014856,             0.00014856
                     80,                 0.8009,                0.35791,                0.92287,                0.97235,                0.95127,                0.96449,                0.70065,                 0.9963,                0.36927,                 1.0402,             0.00014237,             0.00014237,             0.00014237
                     81,                0.78705,                0.35384,                0.91726,                0.97272,                0.95016,                0.96449,                0.70116,                0.99292,                 0.3653,                 1.0393,             0.00013619,             0.00013619,             0.00013619
                     82,                0.78694,                0.35121,                0.92275,                0.97095,                 0.9524,                0.96507,                0.70142,                0.99444,                0.36613,                 1.0406,                0.00013,                0.00013,                0.00013
                     83,                0.78572,                0.35262,                0.92428,                0.97332,                0.95159,                0.96399,                0.69952,                0.99604,                0.36733,                 1.0423,             0.00012381,             0.00012381,             0.00012381
                     84,                0.78016,                0.35015,                0.92174,                0.97434,                0.95073,                0.96482,                0.69919,                0.99666,                0.36605,                 1.0441,             0.00011763,             0.00011763,             0.00011763
                     85,                0.78226,                0.35143,                0.91929,                0.97108,                0.95294,                 0.9644,                0.69948,                0.99685,                0.36806,                 1.0428,             0.00011144,             0.00011144,             0.00011144
                     86,                0.78047,                0.34691,                0.91924,                0.97443,                0.94989,                0.96511,                0.70092,                0.99717,                0.36634,                 1.0418,             0.00010525,             0.00010525,             0.00010525
                     87,                0.77248,                0.34314,                0.91392,                0.97379,                0.95129,                0.96548,                0.70127,                0.99715,                0.36535,                 1.0424,             9.9063e-05,             9.9063e-05,             9.9063e-05
