               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.026036,            0.043517,           0.0064649,             0.97376,             0.95123,             0.95544,             0.67829,            0.028032,            0.056956,            0.005491,            0.007459,            0.007459,            0.007459
                  79,            0.026314,            0.044334,           0.0063567,             0.97478,             0.94922,             0.95687,             0.67677,            0.028093,            0.057323,           0.0053764,            0.007426,            0.007426,            0.007426
                  80,              0.0263,            0.044152,           0.0063522,             0.97364,             0.95181,             0.95518,             0.67863,             0.02791,            0.057082,           0.0052588,            0.007393,            0.007393,            0.007393
                  81,            0.026036,            0.043494,           0.0062819,             0.97391,             0.94899,             0.95488,             0.67876,            0.027902,            0.057087,           0.0056194,             0.00736,             0.00736,             0.00736
                  82,             0.02618,            0.044117,           0.0062542,             0.97531,             0.95072,             0.95611,             0.67852,            0.027885,            0.057014,            0.005509,            0.007327,            0.007327,            0.007327
                  83,            0.025828,            0.042816,           0.0061856,             0.97659,             0.95219,             0.95736,             0.67801,            0.028096,            0.056794,           0.0053021,            0.007294,            0.007294,            0.007294
                  84,            0.026331,             0.04454,           0.0063357,             0.97694,             0.95012,              0.9563,              0.6802,            0.027938,            0.057141,           0.0053714,            0.007261,            0.007261,            0.007261
                  85,            0.026265,            0.044127,           0.0063596,             0.97477,             0.95121,             0.95654,             0.67995,            0.027969,            0.056922,           0.0054659,            0.007228,            0.007228,            0.007228
                  86,            0.026236,            0.043516,             0.00638,             0.97472,              0.9532,             0.95685,             0.67633,            0.027944,            0.056855,           0.0053771,            0.007195,            0.007195,            0.007195
                  87,            0.025798,            0.043245,            0.006204,              0.9749,             0.95095,             0.95668,             0.67896,            0.027852,            0.057119,           0.0055001,            0.007162,            0.007162,            0.007162
                  88,             0.02581,            0.043385,           0.0062743,             0.97727,             0.95192,             0.95842,             0.68069,            0.027766,            0.056933,           0.0053608,            0.007129,            0.007129,            0.007129
                  89,            0.025833,            0.044281,           0.0061775,             0.97562,             0.95122,              0.9573,             0.68087,            0.027725,            0.056938,           0.0053478,            0.007096,            0.007096,            0.007096
                  90,             0.02596,            0.043432,           0.0059981,             0.97416,             0.95185,             0.95685,             0.68012,             0.02771,            0.056756,           0.0055696,            0.007063,            0.007063,            0.007063
                  91,            0.025873,            0.042784,           0.0060976,             0.97503,             0.95239,             0.95506,             0.67935,            0.027789,            0.056998,           0.0054615,             0.00703,             0.00703,             0.00703
                  92,            0.025495,            0.043599,           0.0059914,             0.97767,             0.95125,             0.95815,             0.68295,            0.027804,            0.056759,           0.0051613,            0.006997,            0.006997,            0.006997
                  93,            0.025753,            0.043449,           0.0061042,             0.97588,             0.95162,             0.95715,             0.68246,            0.027697,            0.056884,           0.0051198,            0.006964,            0.006964,            0.006964
                  94,            0.026115,            0.043479,           0.0061028,             0.97444,              0.9521,             0.95743,             0.68137,            0.027686,            0.056949,           0.0050173,            0.006931,            0.006931,            0.006931
                  95,            0.025605,            0.043198,           0.0057571,             0.97371,             0.95255,             0.95631,             0.68133,            0.027849,            0.056843,           0.0052059,            0.006898,            0.006898,            0.006898
                  96,            0.025997,            0.043747,           0.0057745,             0.97189,             0.95352,             0.95581,             0.68058,            0.027853,            0.057323,           0.0054635,            0.006865,            0.006865,            0.006865
                  97,            0.025574,            0.043257,           0.0059908,              0.9739,             0.95425,              0.9567,             0.68097,             0.02787,            0.057174,            0.005302,            0.006832,            0.006832,            0.006832
                  98,             0.02543,             0.04328,           0.0058347,             0.97461,             0.95255,             0.95676,             0.68109,             0.02777,             0.05711,           0.0051775,            0.006799,            0.006799,            0.006799
                  99,            0.025776,            0.043798,           0.0059007,              0.9728,             0.95303,             0.95476,              0.6795,            0.027974,            0.057458,           0.0052478,            0.006766,            0.006766,            0.006766
                 100,            0.025425,            0.042103,           0.0058092,              0.9724,             0.95257,             0.95479,             0.67855,             0.02794,            0.057652,           0.0053762,            0.006733,            0.006733,            0.006733
                 101,            0.025816,            0.043287,           0.0059517,             0.97284,             0.95226,             0.95358,             0.67759,            0.027838,            0.057519,           0.0053512,              0.0067,              0.0067,              0.0067
                 102,            0.025343,            0.042903,            0.005832,             0.97135,               0.954,             0.95382,             0.67683,            0.027981,             0.05769,           0.0053831,            0.006667,            0.006667,            0.006667
                 103,            0.025659,            0.042985,           0.0058108,             0.97251,             0.95429,             0.95407,             0.67809,            0.028024,            0.057601,           0.0052533,            0.006634,            0.006634,            0.006634
                 104,            0.025288,            0.043471,           0.0056292,             0.97521,             0.95261,             0.95415,             0.67893,            0.028028,            0.057549,           0.0052889,            0.006601,            0.006601,            0.006601
                 105,            0.025419,            0.043356,           0.0057932,             0.97511,             0.95202,             0.95462,             0.67858,            0.027956,            0.057381,            0.005377,            0.006568,            0.006568,            0.006568
                 106,            0.025468,            0.043414,           0.0057555,             0.97465,             0.95121,             0.95439,             0.67731,             0.02797,            0.057419,           0.0053516,            0.006535,            0.006535,            0.006535
                 107,            0.025249,            0.042813,           0.0056925,             0.97494,             0.95125,             0.95526,             0.67851,            0.028015,            0.057238,            0.005269,            0.006502,            0.006502,            0.006502
                 108,            0.025201,            0.041875,           0.0056911,             0.97393,             0.95196,             0.95433,              0.6791,            0.028002,            0.057306,           0.0053911,            0.006469,            0.006469,            0.006469
                 109,            0.025123,            0.042742,           0.0056486,             0.97188,             0.95418,             0.95423,              0.6791,               0.028,            0.057406,           0.0053761,            0.006436,            0.006436,            0.006436
                 110,            0.025025,            0.042796,           0.0055822,              0.9707,             0.95402,             0.95344,             0.67765,            0.027963,             0.05763,            0.005382,            0.006403,            0.006403,            0.006403
